CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 5445.218750 1655727278.6587
MEM 5647.859375 1655727278.7594
MEM 5600.371094 1655727278.8601
MEM 5769.238281 1655727278.9607
MEM 5977.292969 1655727279.0615
MEM 6342.097656 1655727279.1621
MEM 5921.171875 1655727279.2628
MEM 6074.644531 1655727279.3634
MEM 6245.316406 1655727279.4641
MEM 6417.535156 1655727279.5648
MEM 6637.707031 1655727279.6654
MEM 7009.214844 1655727279.7661
MEM 7378.917969 1655727279.8667
MEM 7572.535156 1655727279.9674
MEM 6800.703125 1655727280.0680
MEM 6698.089844 1655727280.1687
MEM 6865.667969 1655727280.2693
MEM 7034.019531 1655727280.3700
MEM 7205.464844 1655727280.4708
MEM 7374.074219 1655727280.5715
MEM 7546.035156 1655727280.6722
MEM 7717.738281 1655727280.7728
MEM 7955.957031 1655727280.8735
MEM 8316.636719 1655727280.9741
MEM 8677.316406 1655727281.0748
MEM 9002.160156 1655727281.1755
MEM 9344.277344 1655727281.2765
MEM 9688.972656 1655727281.3773
MEM 9876.402344 1655727281.4781
MEM 8399.039062 1655727281.5788
MEM 8140.929688 1655727281.6796
MEM 7878.468750 1655727281.7804
MEM 8041.406250 1655727281.8812
MEM 8205.890625 1655727281.9820
MEM 8371.406250 1655727282.0828
MEM 8536.921875 1655727282.1836
MEM 8703.984375 1655727282.2843
MEM 8874.398438 1655727282.3851
MEM 9045.585938 1655727282.4859
MEM 9216.000000 1655727282.5867
MEM 9385.640625 1655727282.6875
MEM 9555.539062 1655727282.7883
MEM 9724.664062 1655727282.8889
MEM 9893.015625 1655727282.9897
MEM 10060.078125 1655727283.0906
MEM 10234.359375 1655727283.1915
MEM 10408.382812 1655727283.2923
MEM 10582.921875 1655727283.3932
MEM 10756.171875 1655727283.4940
MEM 10926.328125 1655727283.5949
MEM 10992.070312 1655727283.6957
MEM 10992.070312 1655727283.7966
MEM 10992.070312 1655727283.8975
MEM 10992.070312 1655727283.9984
MEM 10038.566406 1655727284.0991
MEM 10038.566406 1655727284.1999
MEM 8788.433594 1655727284.3008
MEM 6282.921875 1655727284.4016
MEM 6797.257812 1655727284.5022
MEM 7175.984375 1655727284.6031
MEM 7175.984375 1655727284.7039
MEM 7175.984375 1655727284.8046
MEM 7175.984375 1655727284.9048
MEM 7231.671875 1655727285.0055
MEM 7793.703125 1655727285.1061
MEM 8129.632812 1655727285.2069
MEM 8129.632812 1655727285.3076
MEM 8129.632812 1655727285.4083
MEM 8129.632812 1655727285.5088
MEM 8129.632812 1655727285.6095
MEM 8129.632812 1655727285.7101
MEM 8129.632812 1655727285.8108
MEM 8129.632812 1655727285.9114
MEM 8129.632812 1655727286.0121
MEM 8129.632812 1655727286.1127
MEM 8129.632812 1655727286.2134
MEM 8129.632812 1655727286.3140
MEM 8129.632812 1655727286.4147
MEM 8129.632812 1655727286.5153
MEM 8129.632812 1655727286.6160
MEM 8129.632812 1655727286.7167
MEM 8129.632812 1655727286.8173
MEM 8129.632812 1655727286.9180
MEM 8129.632812 1655727287.0187
MEM 8129.632812 1655727287.1193
MEM 8129.632812 1655727287.2200
MEM 8129.632812 1655727287.3208
MEM 8129.632812 1655727287.4214
MEM 8129.632812 1655727287.5221
MEM 8129.703125 1655727287.6227
MEM 8129.703125 1655727287.7234
MEM 8129.703125 1655727287.8240
MEM 8129.703125 1655727287.9247
MEM 8129.703125 1655727288.0253
MEM 8129.703125 1655727288.1260
MEM 8132.941406 1655727288.2267
MEM 8139.937500 1655727288.3273
MEM 8146.812500 1655727288.4279
MEM 8153.492188 1655727288.5286
