CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python main.py
MEM 696.121094 1657730772.7840
MEM 696.636719 1657730772.8843
MEM 697.152344 1657730772.9846
MEM 697.667969 1657730773.0850
MEM 698.183594 1657730773.1853
MEM 698.699219 1657730773.2857
MEM 699.214844 1657730773.3860
MEM 699.730469 1657730773.4863
MEM 700.246094 1657730773.5867
MEM 700.761719 1657730773.6870
MEM 701.019531 1657730773.7873
MEM 701.535156 1657730773.8877
MEM 702.050781 1657730773.9880
MEM 702.824219 1657730774.0884
MEM 703.082031 1657730774.1887
MEM 703.597656 1657730774.2891
MEM 704.113281 1657730774.3894
MEM 704.886719 1657730774.4897
MEM 705.144531 1657730774.5901
MEM 705.660156 1657730774.6905
MEM 706.175781 1657730774.7908
MEM 706.691406 1657730774.8912
MEM 707.207031 1657730774.9915
MEM 707.464844 1657730775.0918
MEM 707.980469 1657730775.1922
MEM 708.496094 1657730775.2925
MEM 709.011719 1657730775.3929
MEM 709.527344 1657730775.4933
MEM 710.558594 1657730775.5937
MEM 710.816406 1657730775.6940
MEM 711.332031 1657730775.7944
MEM 711.847656 1657730775.8947
MEM 712.105469 1657730775.9950
MEM 712.621094 1657730776.0954
MEM 713.394531 1657730776.1958
MEM 713.652344 1657730776.2961
MEM 714.167969 1657730776.3964
MEM 714.683594 1657730776.4968
MEM 715.199219 1657730776.5971
MEM 715.714844 1657730776.6975
MEM 716.230469 1657730776.7979
MEM 716.746094 1657730776.8982
MEM 717.261719 1657730776.9985
MEM 717.777344 1657730777.0989
MEM 718.292969 1657730777.1992
MEM 718.808594 1657730777.2996
